Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
onealje01,42:08,14,22,.636,1,1,1.000,5,8,.625,1,10,11,2,1,5,2,3,34,-5
jacksst02,31:05,2,11,.182,0,4,.000,2,4,.500,0,2,2,1,1,1,1,4,6,-11
tinslja01,29:33,6,13,.462,1,2,.500,2,3,.667,3,3,6,4,4,0,4,6,15,-5
jasiksa01,24:46,0,7,.000,0,4,.000,1,2,.500,0,0,0,5,0,0,1,3,1,-3
fosteje01,9:52,0,1,.000,0,0,,0,0,,2,3,5,0,0,0,0,0,0,-7
grangda01,32:31,2,4,.500,0,1,.000,4,4,1.000,5,5,10,2,0,0,2,4,8,+16
jonesfr01,29:11,6,10,.600,1,2,.500,2,2,1.000,0,6,6,1,0,1,2,3,15,+3
croshau01,20:00,1,5,.200,1,2,.500,1,1,1.000,2,1,3,1,2,0,0,2,4,-11
johnsan02,18:51,3,6,.500,0,3,.000,0,0,,0,3,3,3,2,0,3,0,6,0
harrida01,2:03,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2
Team Totals,240,34,80,.425,4,19,.211,17,24,.708,13,33,46,19,10,7,16,26,89,
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,43:51,4,16,.250,0,1,.000,6,11,.545,1,7,8,9,1,0,3,1,14,+1
hughela01,40:00,5,10,.500,1,1,1.000,7,9,.778,0,3,3,3,2,1,3,4,18,+4
goodedr01,36:27,8,14,.571,0,0,,5,7,.714,6,6,12,2,1,1,1,2,21,-1
ilgauzy01,25:49,6,11,.545,0,0,,3,4,.750,2,4,6,1,2,3,5,5,15,+22
snower01,22:58,1,3,.333,0,0,,1,2,.500,0,3,3,1,0,0,1,2,3,+6
marshdo01,30:49,5,12,.417,4,7,.571,3,3,1.000,2,4,6,1,1,0,1,3,17,-7
jonesda01,25:06,2,4,.500,1,3,.333,1,1,1.000,0,3,3,0,0,0,2,1,6,-1
newblir01,12:30,0,2,.000,0,1,.000,0,0,,0,2,2,0,1,0,0,1,0,+5
hendeal01,2:31,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
Team Totals,240,31,72,.431,6,13,.462,26,37,.703,11,33,44,17,8,5,16,19,94,
