New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
gallida01,35:51,5,13,.385,2,5,.400,5,5,1.000,1,3,4,1,2,0,2,2,17,-21
leeda02,33:12,4,12,.333,0,0,,2,3,.667,1,9,10,4,3,0,3,2,10,-37
harrial01,31:10,7,15,.467,3,8,.375,1,2,.500,0,3,3,1,1,0,0,2,18,-38
mcgratr01,24:13,3,7,.429,0,2,.000,0,0,,0,2,2,5,0,0,3,3,6,-31
rodrise01,22:08,3,9,.333,1,2,.500,2,3,.667,0,0,0,5,1,0,1,2,9,-9
walkebi01,35:24,9,14,.643,2,5,.400,1,2,.500,0,5,5,1,1,1,0,3,21,-12
douglto01,21:28,2,6,.333,1,3,.333,1,2,.500,0,3,3,6,0,0,0,2,6,-1
houseed01,20:25,1,8,.125,0,4,.000,0,0,,0,2,2,3,0,0,1,0,2,-21
bendejo01,16:09,2,4,.500,0,1,.000,0,0,,0,2,2,0,1,2,2,1,4,+15
Team Totals,240,36,88,.409,9,30,.300,12,17,.706,2,29,31,26,9,3,12,17,93,
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,31:14,9,17,.529,1,4,.250,3,5,.600,0,7,7,7,2,2,3,0,22,+39
jamisan01,30:02,8,14,.571,1,5,.200,0,1,.000,1,11,12,2,2,1,2,2,17,+38
parkean01,27:20,3,4,.750,2,3,.667,0,0,,1,4,5,1,1,0,1,1,8,+35
willima01,24:48,2,8,.250,1,5,.200,2,3,.667,0,3,3,10,0,2,1,2,7,+31
hicksjj01,23:00,6,7,.857,0,0,,5,7,.714,2,7,9,2,1,2,3,1,17,+28
westde01,21:48,6,10,.600,0,0,,3,5,.600,1,2,3,3,1,0,0,0,15,+3
moonja01,18:07,2,4,.500,0,0,,0,0,,1,3,4,1,0,0,1,3,4,+14
powele01,17:58,3,6,.500,0,0,,2,4,.500,1,3,4,0,1,0,3,3,8,-7
varejan01,16:17,7,9,.778,0,0,,0,0,,6,4,10,2,0,0,0,1,14,+21
willija04,12:00,3,6,.500,1,2,.500,0,0,,0,1,1,3,0,0,0,3,7,-11
greenda02,8:43,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,1,3,4,-18
jacksda01,8:43,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,1,2,1,-18
Team Totals,240,51,90,.567,6,19,.316,16,27,.593,14,46,60,31,8,7,16,21,124,
