Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,39:36,6,20,.300,0,5,.000,2,3,.667,1,7,8,10,5,1,4,2,14,+6
willima01,36:32,7,15,.467,3,6,.500,3,3,1.000,1,2,3,5,1,0,7,3,20,+3
onealsh01,25:38,5,7,.714,0,0,,0,0,,2,6,8,0,0,0,1,2,10,+4
parkean01,22:36,4,7,.571,0,1,.000,2,3,.667,0,2,2,1,0,1,0,1,10,-9
hicksjj01,16:07,3,3,1.000,0,0,,0,0,,0,3,3,0,0,0,2,3,6,-9
varejan01,32:58,1,1,1.000,0,0,,1,2,.500,1,7,8,2,1,0,2,1,3,+19
westde01,29:21,6,11,.545,1,2,.500,4,6,.667,2,3,5,2,2,0,2,1,17,+24
ilgauzy01,19:44,6,8,.750,1,2,.500,2,2,1.000,3,2,5,0,0,0,0,4,15,+4
moonja01,17:29,0,5,.000,0,1,.000,0,0,,0,1,1,1,1,1,0,1,0,+13
Team Totals,240,38,77,.494,5,17,.294,14,19,.737,10,33,43,21,10,3,18,18,95,
Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
johnsjo02,42:43,5,14,.357,2,5,.400,3,4,.750,0,2,2,4,1,0,4,1,15,-6
horfoal01,40:05,3,7,.429,0,0,,3,4,.750,2,7,9,2,2,1,4,1,9,-1
willima02,30:43,3,6,.500,0,1,.000,6,6,1.000,0,1,1,1,0,1,1,1,12,+3
smithjo03,30:00,7,13,.538,0,0,,1,6,.167,3,5,8,2,0,1,1,5,15,-2
bibbymi01,27:11,1,7,.143,0,3,.000,0,0,,0,3,3,7,2,0,1,1,2,-1
crawfja01,33:52,10,17,.588,4,5,.800,2,4,.500,0,4,4,2,2,0,2,2,26,-22
pachuza01,17:51,1,1,1.000,0,0,,1,2,.500,0,3,3,0,2,1,2,4,3,-15
evansma01,11:43,1,3,.333,0,1,.000,0,0,,0,0,0,0,1,1,0,0,2,-6
smithjo02,5:52,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-5
Team Totals,240,31,70,.443,6,15,.400,16,26,.615,5,25,30,19,10,5,16,16,84,
