Charlotte Bobcats
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
knighbr01,40:00,4,9,.444,0,0,,7,7,1.000,0,3,3,20,2,0,5,3,15,+3
okafoem01,38:00,3,9,.333,0,0,,0,0,,2,7,9,0,0,0,0,2,6,-9
wallage01,37:00,8,15,.533,0,1,.000,2,3,.667,1,3,4,1,0,1,1,2,18,+2
brezepr01,36:00,9,15,.600,0,0,,0,0,,3,0,3,0,0,3,2,2,18,+3
rushka01,17:00,2,6,.333,0,1,.000,0,0,,0,4,4,1,0,0,1,2,4,+3
boganke01,32:00,7,16,.438,2,4,.500,1,2,.500,2,3,5,0,1,0,1,4,17,-5
kaponja01,16:00,4,9,.444,3,3,1.000,0,0,,0,0,0,0,1,0,2,1,11,-4
sampsja01,15:00,0,2,.000,0,0,,0,0,,1,2,3,2,0,3,1,0,0,+8
elyme01,14:00,3,5,.600,0,0,,1,3,.333,1,2,3,1,2,0,2,1,7,-4
hartja01,13:00,1,1,1.000,0,0,,0,0,,0,2,2,2,3,0,0,4,2,-5
robinbe01,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
whiteja01,3:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Team Totals,265,41,87,.471,5,9,.556,11,15,.733,10,28,38,27,9,7,15,21,98,
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,49:00,11,24,.458,2,5,.400,5,7,.714,1,7,8,9,2,1,8,1,29,+7
ilgauzy01,38:00,6,11,.545,0,0,,10,10,1.000,8,3,11,2,1,2,2,5,22,+4
mcinnje01,35:00,4,15,.267,0,5,.000,0,0,,0,2,2,3,0,0,0,1,8,-10
goodedr01,34:00,8,13,.615,0,1,.000,1,2,.500,3,2,5,1,1,2,2,3,17,+5
newblir01,20:00,1,5,.200,0,0,,0,0,,0,3,3,1,0,0,0,2,2,-10
snower01,30:00,3,5,.600,1,2,.500,0,1,.000,0,3,3,7,3,1,3,3,7,+19
varejan01,18:00,2,4,.500,0,0,,0,0,,2,2,4,1,0,1,1,3,4,-5
traylro01,16:00,1,4,.250,0,0,,0,0,,2,5,7,1,2,1,1,2,2,0
harrilu01,13:00,2,4,.500,0,0,,0,1,.000,0,2,2,0,0,1,0,1,4,+7
pavloal01,12:00,1,4,.250,0,1,.000,3,4,.750,1,1,2,0,0,0,1,2,5,-7
Team Totals,265,39,89,.438,3,14,.214,19,25,.760,17,30,47,25,9,9,18,23,100,
